,started_at,total_trips
265,2023-09-23,3967
266,2023-09-24,9185
267,2023-09-25,12624
268,2023-09-26,12562
269,2023-09-27,17129
270,2023-09-28,16917
271,2023-09-29,16630
272,2023-09-30,18708
273,2023-10-01,17577
274,2023-10-02,15682
275,2023-10-03,17018
276,2023-10-04,17262
277,2023-10-05,16808
278,2023-10-06,16410
279,2023-10-07,14529
280,2023-10-08,14033
281,2023-10-09,12891
282,2023-10-10,15710
283,2023-10-11,16702
284,2023-10-12,17337
285,2023-10-13,17545
286,2023-10-14,8130
287,2023-10-15,13754
288,2023-10-16,13882
289,2023-10-17,15644
290,2023-10-18,16413
291,2023-10-19,17155
292,2023-10-20,13498
293,2023-10-21,17349
294,2023-10-22,14592
295,2023-10-23,14365
296,2023-10-24,16983
297,2023-10-25,17983
298,2023-10-26,18024
299,2023-10-27,18583
300,2023-10-28,20174
301,2023-10-29,17164
302,2023-10-30,13185
303,2023-10-31,14702
304,2023-11-01,12712
305,2023-11-02,13324
306,2023-11-03,14235
307,2023-11-04,18320
308,2023-11-05,15447
309,2023-11-06,13844
310,2023-11-07,15738
311,2023-11-08,15348
312,2023-11-09,14949
313,2023-11-10,8490
314,2023-11-11,15014
315,2023-11-12,11353
316,2023-11-13,12633
317,2023-11-14,14563
318,2023-11-15,14484
319,2023-11-16,15123
320,2023-11-17,14820
321,2023-11-18,13922
322,2023-11-19,11955
323,2023-11-20,10828
324,2023-11-21,3686
325,2023-11-22,9470
326,2023-11-23,6135
327,2023-11-24,7621
328,2023-11-25,7459
329,2023-11-26,5282
330,2023-11-27,9697
331,2023-11-28,9513
332,2023-11-29,10081
333,2023-11-30,12555
334,2023-12-01,8831
335,2023-12-02,13250
336,2023-12-03,8819
337,2023-12-04,11624
338,2023-12-05,12216
339,2023-12-06,11426
340,2023-12-07,11227
341,2023-12-08,12472
342,2023-12-09,13512
343,2023-12-10,4556
344,2023-12-11,9458
345,2023-12-12,11089
346,2023-12-13,11382
347,2023-12-14,10791
348,2023-12-15,11783
349,2023-12-16,12272
350,2023-12-17,6020
351,2023-12-18,9084
352,2023-12-19,9009
353,2023-12-20,9296
354,2023-12-21,8523
355,2023-12-22,7590
356,2023-12-23,6251
357,2023-12-24,4451
358,2023-12-25,4335
359,2023-12-26,3697
360,2023-12-27,2580
361,2023-12-28,7918
362,2023-12-29,8659
363,2023-12-30,7594
364,2023-12-31,7327
